Judul,Bahan,Petunjuk,id
Beef Stroganoff,500g daging sapi--1 bawang bombay--200g jamur--2 sdm mentega--1 sdm tepung terigu--250ml kaldu sapi--150ml krim kental--Garam dan merica secukupnya,"Tumis bawang bombay dan jamur dengan mentega hingga harum.--Tambahkan daging sapi, masak hingga berubah warna.--Taburkan tepung terigu, aduk rata.--Tuang kaldu sapi, masak hingga mengental.--Masukkan krim kental, aduk rata.--Beri garam dan merica sesuai selera. Sajikan panas.",5751
Sapi Lada Hitam,500g daging sapi--3 sdm saus tiram--2 sdm kecap manis--1 sdm lada hitam--3 siung bawang putih--2 sdm minyak sayur,"Tumis bawang putih dengan minyak hingga harum.--Masukkan daging sapi, aduk hingga berubah warna.--Tambahkan saus tiram, kecap manis, dan lada hitam. Aduk rata.--Masak hingga daging matang dan bumbu meresap. Sajikan hangat.",5966
Sup Buntut Sapi,1 kg buntut sapi--2 wortel--2 kentang--2 batang seledri--2 lembar daun bawang--Garam dan merica secukupnya,"Rebus buntut sapi hingga empuk.--Tambahkan wortel dan kentang, masak hingga sayuran matang.--Bumbui dengan garam dan merica. Sajikan dengan taburan seledri dan daun bawang.",5977
Rendang Sapi,"1 kg daging sapi--400ml santan kental--4 lembar daun jeruk--3 lembar daun salam--2 batang serai, memarkan--Bumbu rendang instan (sesuai petunjuk)","Tumis bumbu rendang hingga harum.--Masukkan daging sapi, aduk hingga berubah warna.--Tambahkan santan, daun jeruk, daun salam, dan serai.--Masak hingga daging empuk dan bumbu meresap.",6482
Gulai Sapi,"500g daging sapi--400ml santan--2 batang serai, memarkan--4 lembar daun jeruk--3 lembar daun salam--2 sendok makan bubuk ketumbar--Garam dan gula secukupnya","Rebus daging sapi hingga setengah matang.--Tambahkan santan, serai, daun jeruk, dan daun salam.--Masukkan bubuk ketumbar, garam, dan gula. Masak hingga daging empuk.",6508
Steak Sapi BBQ,4 potong daging sapi (sirloin)--3 sendok makan saus BBQ--2 sendok makan kecap manis--2 sendok makan minyak zaitun--Garam dan merica secukupnya,"Lumuri daging dengan campuran saus BBQ, kecap manis, minyak zaitun, garam, dan merica.--Diamkan selama 30 menit.--Panggang daging di atas grill hingga matang sesuai selera.",6510
Sop Daging Sapi,500g daging sapi--2 wortel--2 kentang--1 batang seledri--2 lembar daun bawang--Garam dan merica secukupnya,"Rebus daging sapi hingga setengah matang.--Tambahkan wortel dan kentang, masak hingga sayuran matang.--Bumbui dengan garam dan merica. Sajikan dengan taburan seledri dan daun bawang.",6511
Daging Sapi Bumbu Kacang,"500g daging sapi--100g kacang tanah, sangrai--3 siung bawang putih--2 cabe merah--2 sendok makan kecap manis--Garam secukupnya","Blender kacang tanah, bawang putih, dan cabe merah hingga halus.--Tumis bumbu yang telah di-blender hingga harum.--Tambahkan daging sapi, aduk hingga berubah warna.--Tuangkan kecap manis dan garam, masak hingga daging matang.",6512
Bistik Sapi,500g daging sapi--2 bawang bombay--4 sendok makan kecap manis--3 sendok makan saus Worcestershire--Garam dan merica secukupnya--2 sendok makan minyak sayur,"Tumis bawang bombay dengan minyak hingga harum.--Tambahkan daging sapi, aduk hingga berubah warna.--Masukkan kecap manis, saus Worcestershire, garam, dan merica. Aduk rata.",6513
Sapi Kecap,"500g daging sapi--4 sendok makan kecap manis--3 sendok makan saus tomat--2 sendok makan minyak sayur--3 siung bawang putih, cincang halus","Tumis bawang putih dengan minyak hingga harum.--Masukkan daging sapi, aduk hingga berubah warna.--Tambahkan kecap manis, saus tomat, dan sedikit air. Aduk rata hingga daging matang.",6514
Sapi Kari,"500g daging sapi--200ml santan kental--2 sendok makan bubuk kari--2 batang serai, memarkan--3 lembar daun jeruk--Garam dan gula secukupnya","Rebus daging sapi hingga setengah matang.--Tambahkan santan, bubuk kari, serai, dan daun jeruk.--Bumbui dengan garam dan gula. Masak hingga daging empuk.",6528
Daging Sapi Balado,500g daging sapi--5 cabe merah besar--3 cabe rawit--4 siung bawang merah--3 siung bawang putih--2 lembar daun salam--Garam dan gula secukupnya,"Blender cabe merah, cabe rawit, bawang merah, dan bawang putih hingga halus.--Tumis bumbu yang telah di-blender dengan daun salam hingga harum.--Masukkan daging sapi, aduk hingga berubah warna.--Bumbui dengan garam dan gula. Masak hingga daging matang dan bumbu meresap.",6529
Sate Sapi,500g daging sapi--Bumbu sate siap pakai--Kecap manis--Bawang merah goreng--Tusuk sate,Rendam daging sapi dengan bumbu sate selama beberapa jam.--Tusuk daging pada tusuk sate.--Panggang sate hingga matang. Sajikan dengan kecap manis dan bawang merah goreng.,6652
Tongseng Sapi,"500g daging sapi--150ml santan kental--2 batang serai, memarkan--3 lembar daun jeruk--2 sendok makan kecap manis--1 sendok makan gula merah, serut--Garam secukupnya","Tumis daging sapi hingga berubah warna.--Tambahkan santan, serai, daun jeruk, kecap manis, dan gula merah. Masak hingga daging empuk.",6653
Empal Sapi,500g daging sapi--200ml air kelapa--2 lembar daun salam--3 lembar daun jeruk--2 sendok makan kecap manis--Garam dan gula secukupnya,"Rebus daging sapi dengan air kelapa, daun salam, dan daun jeruk hingga empuk.--Tambahkan kecap manis, garam, dan gula. Masak hingga daging berwarna kecokelatan.",6654
Daging Sapi Goreng Tepung,500g daging sapi--3 sendok makan tepung terigu--2 sendok makan tepung maizena--2 sendok makan saus tiram--Garam dan merica secukupnya--Minyak untuk menggoreng,"Campur tepung terigu, tepung maizena, saus tiram, garam, dan merica.--Gulingkan daging dalam campuran tepung.--Goreng hingga kecokelatan. Sajikan dengan saus pilihan.",6655
